Feature,Importance
verbs_form_dist_Fin,0.4326928786688399
upos_dist_DET,0.15777383882056037
ttr_form_chunks_200,0.1436135975320957
tokens_per_sent,0.13969880325446266
ttr_form_chunks_100,0.05020933385719018
aux_num_pers_dist_+,0.047094070573456985
verbs_form_dist_Ger,0.02225305159940005
n_tokens,0.005194065905104361
char_per_tok,0.0014703597888897069
upos_dist_INTJ,0.0
upos_dist_ADJ,0.0
aux_mood_dist_Imp,0.0
upos_dist_SYM,0.0
upos_dist_ADV,0.0
ttr_lemma_chunks_100,0.0
upos_dist_PROPN,0.0
verbs_num_pers_dist_+1,0.0
verbs_form_dist_Part,0.0
upos_dist_PRON,0.0
verbs_tense_dist_Past,0.0
verbs_num_pers_dist_+3,0.0
obj_post,0.0
verbs_num_pers_dist_Plur+2,0.0
aux_num_pers_dist_+3,0.0
n_sentences,0.0
aux_form_dist_Ger,0.0
obj_pre,0.0
verbs_form_dist_Inf,0.0
subj_post,0.0
upos_dist_AUX,0.0
upos_dist_PART,0.0
dep_dist_flat:foreign,0.0
subj_pre,0.0
aux_form_dist_Inf,0.0
verbs_tense_dist_Pres,0.0
verbal_root_perc,0.0
aux_num_pers_dist_Plur+2,0.0
subordinate_post,0.0
upos_dist_PUNCT,0.0
n_prepositional_chains,0.0
verbs_num_pers_dist_Sing+1,0.0
verbs_mood_dist_Ind,0.0
aux_num_pers_dist_Plur+,0.0
verbs_num_pers_dist_+2,0.0
upos_dist_VERB,0.0
aux_num_pers_dist_Sing+1,0.0
subordinate_proposition_dist,0.0
verbs_num_pers_dist_+,0.0
avg_token_per_clause,0.0
aux_tense_dist_Past,0.0
principal_proposition_dist,0.0
lexical_density,0.0
verbs_num_pers_dist_Plur+,0.0
verbs_num_pers_dist_Plur+3,0.0
dep_dist_<PAD>,0.0
verbs_num_pers_dist_Sing+3,0.0
verbs_mood_dist_Imp,0.0
verbal_head_per_sent,0.0
upos_dist_CCONJ,0.0
aux_mood_dist_Ind,0.0
subordinate_pre,0.0
ttr_lemma_chunks_200,0.0
upos_dist_NOUN,0.0
aux_num_pers_dist_Plur+3,0.0
aux_form_dist_Part,0.0
aux_num_pers_dist_Sing+,0.0
aux_form_dist_Fin,0.0
aux_tense_dist_Pres,0.0
upos_dist_ADP,0.0
verbs_num_pers_dist_Sing+,0.0
verbs_num_pers_dist_Sing+2,0.0
aux_num_pers_dist_Sing+3,0.0
upos_dist_SCONJ,0.0
aux_num_pers_dist_+2,0.0
aux_num_pers_dist_Sing+2,0.0
aux_num_pers_dist_Plur+1,0.0
verbs_num_pers_dist_Plur+1,0.0
upos_dist_NUM,0.0
